time,latitude,longitude,altitude,travelstate
1364506127,43.7066937,-72.2873347,0,stationary
1364507327,43.7067262,-72.2873062,0,stationary
1364508527,43.7067576,-72.2873805,0,moving
1364509727,43.7067243,-72.2872422,0,stationary
1364510927,43.7067466,-72.2872776,0,stationary
1364512127,43.7066919,-72.2872691,0,stationary
1364513327,43.7067137,-72.2872778,0,moving
1364514527,43.7067137,-72.2872778,0,stationary
1364515727,43.7067342,-72.2872954,0,stationary
1364516927,43.7065654,-72.2870006,0,moving
1364518127,43.7065909,-72.2870355,0,stationary
1364519327,43.7067393,-72.2872506,0,moving
1364520527,43.7067116,-72.2873174,0,moving
1364520528,43.7067194,-72.2873136,0,moving
1364522927,43.7591343,-72.3292408,0,moving
1364524127,43.7591338,-72.3292403,0,moving
1364525327,43.7591355,-72.329239,0,stationary
1364526527,43.7591343,-72.329241,0,stationary
1364527727,43.6080507,-72.1621746,0,stationary
1364528927,43.6080507,-72.1621746,0,stationary
1364530127,43.6962944,-72.2833019,0,stationary
1364531327,43.6080507,-72.1621746,0,stationary
1364532527,43.6962944,-72.2833019,0,stationary
1364533727,43.6962944,-72.2833019,0,moving
1364533732,43.6962944,-72.2833019,0,moving
1364537332,43.701942,-72.2950879,0,stationary
1364540927,43.6962944,-72.2833019,0,stationary
1364542127,43.6962944,-72.2833019,0,stationary
1364543327,43.6962944,-72.2833019,0,stationary
1364543332,43.6962944,-72.2833019,0,stationary
1364547547,43.75905185,-72.32936445,187.8999939,
1364548400,43.75919798,-72.32918786,278.7000122,
1364549404,43.75872812,-72.3289441,279.5,
1364551016,43.75928795,-72.32917197,269.2000122,
1364552927,43.6962944,-72.2833019,0,stationary
1364554127,43.6962944,-72.2833019,0,stationary
1364555327,43.6962944,-72.2833019,0,stationary
1364556527,43.7591345,-72.3292409,0,stationary
1364557727,43.6962958,-72.2833045,0,moving
1364558927,43.7067192,-72.2873025,0,moving
1364560127,43.7067576,-72.287252,0,moving
1364561327,43.7066995,-72.2873105,0,stationary
1364562527,43.7066907,-72.2873839,0,moving
1364563727,43.7068614,-72.2872609,0,moving
